year,personID,name,gender,HL.50K,T.MTN,PL.50K,GS.100,MMTR,Hellgate,Total.Beast.Time
2010,P2072,Jason Duelge ,M,7:39:45,6:13:53,7:04:40,35:16:11,10:17:50,15:20:52,81:53:11
2010,P2074,Jason Nuss ,M,6:48:55,6:35:35,6:52:52,30:52:19,11:33:22,17:33:46,80:16:49
2010,P2096,Jim Ashworth ,M,6:08:59,5:31:37,6:24:39,30:35:50,10:40:25,16:12:21,75:33:51
2010,P2108,John Bocek ,M,7:16:30,6:38:47,7:21:07,32:47:00,11:07:08,17:33:23,82:43:55
2010,P33,Keith Knipling ,M,5:41:28,4:59:22,5:24:35,22:03:20,8:11:09,12:22:25,58:42:19
2010,P2139,Kelly Golden ,M,7:11:25,6:52:49,8:11:36,36:48:37,11:56:27,17:29:50,88:30:44
2010,P211,Kimani Long ,M,6:36:57,6:24:57,7:08:21,36:48:37,11:45:47,17:14:30,85:59:09
2010,P194,Marc Griffin ,M,5:51:54,5:54:30,6:11:00,30:15:24,9:30:57,15:19:34,73:03:19
2010,P190,Mario Raymond,M,5:17:32,5:10:47,5:22:05,23:56:02,9:58:16,13:56:36,63:41:18
2010,P127,Rick Gray ,M,6:26:07,6:01:12,6:40:04,32:07:52,10:14:00,15:40:31,77:09:46
2010,P106,Ryan Fulwider ,M,6:10:46,5:52:24,6:13:49,28:15:17,9:28:13,15:50:43,71:51:12
2010,P75,Steven Brown ,M,6:39:02,7:12:10,7:00:23,34:35:39,11:42:50,16:59:49,84:09:53
2009,P1000,Aaron Mulder,M,4:54:04,5:15:11,6:34:43,26:12:41,9:17:17,14:00:23,66:14:19
2009,P1040,Bob Anderson,M,6:15:56,7:01:45,8:04:05,33:13:39,11:18:10,17:37:04,83:30:39
2009,P1064,Byron Backer,M,4:32:07,5:07:45,7:26:58,33:10:49,9:21:42,14:39:31,74:18:52
2009,P1073,Christopher Miller,M,4:23:52,5:06:20,5:38:20,23:28:12,8:57:50,13:24:43,60:59:17
2009,P2000,David Main,M,5:20:53,6:09:20,7:02:06,36:30:20,11:30:00,17:49:23,84:22:02
2009,P25,David Snipes,M,5:19:08,6:13:56,7:20:21,28:37:40,9:45:25,15:26:03,72:42:33
2009,P2019,Dorothy Hunter,F,6:15:11,7:00:20,7:17:59,33:10:27,11:46:50,16:33:49,82:04:36
2009,P2025,Ed Duval,M,5:22:16,6:17:51,7:02:43,30:08:35,10:21:39,16:34:08,75:47:12
